date,price
210109,1351
210116,1331
210123,1321
210130,1331
210206,1351
210220,1431
210227,1546
210306,1571
210313,1621
210320,1641
210327,1621
210403,1581
210410,1521
210417,1521
210424,1461
210501,1451
210508,1401
210515,1346
210522,1271
210529,1211
210605,1191
210612,1191
210619,1191
210626,1231
210703,1231
