date,price
210109,638
210116,675
210123,634
210130,663
210206,641
210213,636
210220,650
210227,655
210306,654
210313,631
210320,627
210327,613
210403,611
210410,638
210417,652
210424,710
210501,742
210508,773
210515,727
210522,674
210529,663
210605,687
210612,680
210619,662
210626,637
210703,645
